City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
282,Iskateley,RU,67.6803,53.1512,19.63,96,95,8.34,overcast clouds
283,San Cristobal,VE,7.7669,-72.225,78.98,71,92,0.56,overcast clouds
284,Guerrero Negro,MX,27.9769,-114.0611,68.72,64,99,12.95,overcast clouds
285,Vila Velha,BR,-20.3297,-40.2925,71.94,95,90,11.99,overcast clouds
286,Cap Malheureux,MU,-19.9842,57.6142,76.46,68,3,5.01,clear sky
287,San Lawrenz,MT,36.0553,14.204,57.85,83,0,4.56,clear sky
288,Podgornoye,RU,51.735,39.1496,35.82,69,75,13.42,broken clouds
289,Soria,ES,41.6667,-2.6667,42.85,78,100,2.04,overcast clouds
290,Bonthe,SL,7.5264,-12.505,80.02,85,50,6.87,light rain
291,Pahrump,US,36.2083,-115.9839,71.76,20,100,4.0,overcast clouds
292,Kindu,CD,-2.95,25.95,70.34,99,97,1.92,light rain
293,Pilar,BR,-9.5972,-35.9567,76.93,76,32,9.48,scattered clouds
294,Port Alfred,ZA,-33.5906,26.891,64.42,77,99,17.43,overcast clouds
295,Codrington,AU,-38.2667,141.9667,56.95,64,30,10.16,scattered clouds
296,Ambon,ID,-3.6954,128.1814,77.14,94,20,6.91,few clouds
297,Fairbanks,US,64.8378,-147.7164,-1.08,74,1,0.0,clear sky
298,Gasa,PS,31.5,34.4667,58.98,67,69,2.91,broken clouds
299,Jacareacanga,BR,-6.2222,-57.7528,80.85,72,100,1.92,moderate rain
300,Singaraja,ID,-8.112,115.0882,76.96,86,100,2.59,moderate rain
301,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,36.19,75,75,24.61,light rain
302,Dir,PK,35.2058,71.8756,46.02,29,0,9.89,clear sky
303,Ilmajoki,FI,62.7333,22.5667,31.59,78,40,3.44,scattered clouds
304,Tazovskiy,RU,67.4667,78.7,-3.62,93,100,20.8,overcast clouds
305,Batemans Bay,AU,-35.7167,150.1833,61.2,92,100,6.11,moderate rain
306,Ahaus,DE,52.0667,7.0,47.46,87,100,4.0,overcast clouds
307,San Diego De Los Banos,CU,22.6467,-83.3697,75.65,88,100,5.97,overcast clouds
308,Roma,US,43.2128,-75.4557,42.84,68,1,6.91,clear sky
309,Baykit,RU,61.67,96.37,-21.57,100,97,2.75,overcast clouds
310,Shingu,JP,33.7333,135.9833,57.51,74,35,4.9,scattered clouds
311,Paraje Nuevo,MX,18.8708,-96.8667,70.72,87,60,4.25,broken clouds
312,Pocoes,BR,-14.5297,-40.3653,69.84,88,90,5.93,overcast clouds
313,Vysokogornyy,RU,50.1167,139.15,2.66,100,87,1.77,overcast clouds
